,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
190,Male,White,3.8,2,4,3,1,3,2,-9,5,5,0
191,Female,White,2.8,2,1,2,0,3,2,-9,5,5,1
192,Male,White,3.8,4,2,1,0,6,4,-9,5,5,1
193,Male,White,3.5,3,2,4,2,3,2,-9,5,5,1
194,Female,White,2.5,2,1,2,0,5,4,-9,4,4,0
195,Female,White,3.8,4,3,4,2,3,3,-9,5,5,0
196,Female,White,3.0,3,4,3,0,2,3,-9,98,98,0
197,Female,White,2.8,3,5,2,2,3,2,-9,5,5,0
198,Female,White,3.8,4,1,3,3,5,4,-9,6,6,1
199,Male,White,3.5,2,1,2,3,3,3,-9,2,2,0
200,Female,White,4.0,4,3,3,2,4,4,-9,6,6,1
201,Male,Black,3.0,9,99,99,99,4,8,-9,6,6,1
202,Male,White,3.0,3,4,1,0,3,2,-9,5,5,1
203,Female,Black,3.3,3,0,3,0,3,2,-3,7,5,0
204,Male,White,2.3,4,1,4,2,4,4,-9,5,5,0
205,Male,White,3.5,4,1,4,0,3,3,-9,5,5,1
206,Male,White,2.0,3,1,1,0,4,4,-9,6,6,0
207,Male,White,2.3,9,0,0,0,4,4,-9,5,5,1
208,Male,White,3.3,4,2,5,4,4,4,-3,5,5,1
209,Female,White,3.0,4,4,1,0,5,4,-9,6,6,0
210,Male,White,3.3,4,3,3,4,3,4,-9,6,5,0
211,Male,White,3.0,2,2,3,0,4,3,-9,6,6,0
212,Male,White,0.6,1,98,5,0,3,2,-9,7,98,0
213,Female,Black,3.0,9,99,99,99,4,8,-9,5,5,0
214,Female,White,1.0,2,0,3,2,3,2,-3,7,3,0
215,Male,White,3.3,4,7,6,2,5,4,-9,6,6,1
216,Male,Black,3.3,3,1,2,4,6,4,-9,6,6,1
217,Male,White,2.3,3,1,1,0,3,3,-9,5,5,1
218,Male,White,3.5,4,2,2,3,5,4,-3,5,5,1
219,Female,Black,3.3,3,1,3,0,1,1,-3,4,5,1
220,Female,White,2.8,4,1,5,4,5,4,-9,5,5,1
221,Female,White,3.5,3,2,4,4,6,4,-9,6,5,1
222,Male,White,3.3,4,1,1,1,3,4,-9,5,5,1
223,Female,Black,3.5,3,1,3,1,3,2,-9,6,6,1
224,Female,White,3.0,2,5,6,4,3,2,-3,5,5,0
225,Female,White,2.3,4,1,1,0,2,2,-9,4,4,0
226,Male,White,2.4,3,3,3,4,4,3,-9,4,4,1
227,Male,White,4.0,4,7,2,3,6,4,-9,6,6,1
228,Female,Black,4.0,3,3,2,0,3,3,-9,5,6,1
229,Male,White,3.8,4,2,1,2,6,4,-9,5,5,1
230,Male,White,2.4,2,1,2,2,3,3,-9,5,5,0
231,Male,White,3.8,4,3,2,2,4,3,-9,5,5,1
232,Female,White,3.3,3,1,3,3,4,4,-9,5,5,0
233,Male,White,3.5,9,99,99,99,1,8,-9,98,4,0
234,Male,White,3.3,2,0,1,1,3,2,-9,3,3,0
235,Male,White,2.8,3,6,7,3,3,3,-9,3,3,1
236,Male,White,4.0,4,2,6,3,4,4,-9,5,6,1
237,Female,White,2.3,9,99,99,99,2,8,-9,5,7,1
238,Male,White,3.0,3,1,1,0,3,2,-9,4,4,1
239,Male,White,3.8,4,3,4,1,4,4,-9,5,5,1
240,Male,White,2.8,4,1,1,0,4,4,-9,6,6,0
241,Male,White,3.5,4,3,3,4,6,4,-9,6,6,1
242,Female,White,3.0,9,99,99,99,3,8,-9,98,4,0
243,Female,White,3.3,2,3,2,3,3,4,-9,5,5,1
244,Male,White,3.0,3,1,1,1,3,4,-9,2,3,0
245,Female,White,2.8,1,2,3,2,3,2,-9,6,6,1
246,Female,White,4.0,9,3,4,2,4,4,-9,98,98,1
247,Female,White,2.8,3,2,2,0,2,2,-9,5,5,0
248,Male,White,3.3,4,5,3,3,4,3,-9,5,5,0
249,Male,White,2.5,2,3,3,0,3,3,-3,6,4,0
250,Female,Black,3.5,2,0,1,1,3,3,-9,3,3,0
251,Male,Black,2.3,2,1,1,0,7,2,-9,5,5,0
252,Male,White,3.3,3,1,1,1,3,4,-9,6,5,0
253,Female,White,3.0,3,1,2,1,5,4,-9,5,5,1
254,Female,White,3.5,9,99,99,99,1,8,-3,5,5,0
255,Female,White,2.8,4,1,1,0,3,4,-9,6,6,0
256,Male,White,4.0,4,2,1,4,3,3,-9,5,5,1
257,Female,White,2.5,2,2,2,1,3,2,-9,6,5,1
258,Female,White,2.7,2,3,2,0,2,3,-9,4,4,0
259,Male,White,2.8,4,0,2,2,4,3,-9,5,5,0
260,Female,White,4.0,4,5,4,1,3,3,-9,5,5,1
261,Male,White,3.8,4,3,6,2,6,4,-9,6,6,1
262,Female,Black,9.9,1,1,1,1,99,8,-9,99,99,0
263,Male,White,3.3,4,1,4,0,3,3,-9,5,5,0
264,Male,Black,1.5,3,1,5,2,4,4,-9,6,6,0
265,Male,Black,3.0,3,5,6,3,2,3,-9,6,6,0
266,Female,White,3.8,3,1,2,0,4,4,-9,5,5,0
267,Female,White,2.5,1,7,4,1,3,3,-9,7,7,1
268,Male,White,2.8,4,2,5,2,3,3,-9,6,6,1
269,Male,Black,3.0,2,1,2,4,4,4,-9,98,4,0
270,Male,White,3.0,9,99,99,99,3,8,-9,5,5,0
271,Male,Black,2.5,1,1,1,2,2,1,-9,4,4,0
272,Female,Black,3.0,2,4,1,1,3,1,-3,5,5,0
273,Female,White,3.0,2,2,5,2,3,3,-9,5,5,0
274,Male,White,3.0,4,1,3,4,5,4,-9,5,5,0
275,Female,White,3.0,3,1,2,0,3,3,-3,5,7,1
276,Male,White,2.5,1,0,2,2,2,2,-9,4,4,0
277,Female,Black,3.5,1,1,2,2,3,3,-9,5,5,0
278,Female,White,4.0,3,1,2,2,4,4,-9,6,6,1
279,Male,White,3.0,4,5,4,3,4,4,-9,5,5,0
280,Female,Black,2.0,2,1,2,3,3,1,-9,5,6,0
