,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
4753,Female,White,2.8,1,2,1,3,3,1,-9,5,2,0
4754,Male,White,3.5,3,1,0,4,3,3,-9,98,98,1
4755,Male,White,3.5,4,0,5,4,3,4,-9,5,5,0
4756,Female,White,3.0,2,7,3,3,3,3,-9,5,5,1
4757,Male,White,3.8,9,99,99,99,5,8,-9,6,6,1
4758,Male,Black,3.3,2,1,3,0,3,3,-9,6,6,1
4759,Male,White,2.4,1,1,1,0,3,3,-9,4,4,1
4760,Female,White,1.9,1,1,3,1,3,3,-3,5,5,1
4761,Male,Black,3.0,3,1,2,2,5,3,-9,6,6,0
4762,Male,White,2.8,9,3,5,5,6,4,-9,6,6,1
4763,Female,White,3.3,3,0,2,3,2,2,-3,3,4,0
4764,Female,White,2.4,1,3,1,0,1,1,-9,6,6,0
4765,Female,White,4.0,3,1,1,2,2,2,-9,5,5,1
4766,Female,Black,3.0,3,2,2,2,3,3,-9,4,4,0
4767,Female,White,2.5,2,0,1,0,4,2,-3,5,5,1
4768,Male,White,2.5,1,1,5,4,4,4,-9,5,5,1
4769,Male,White,2.0,2,1,1,0,4,4,-3,5,5,0
4770,Male,White,2.4,2,99,99,99,2,2,-9,2,2,0
4771,Female,White,2.5,4,2,1,3,3,3,-3,7,7,1
4772,Female,White,2.8,3,2,1,0,2,2,-9,5,5,0
4773,Female,White,9.9,1,5,2,2,99,8,-9,99,99,1
4774,Male,White,3.0,3,2,4,1,4,4,-9,5,5,0
4775,Male,Black,3.0,3,1,2,2,5,3,-9,6,6,0
4776,Female,White,2.8,3,99,99,99,3,3,-9,5,5,1
4777,Female,White,3.5,2,3,2,1,3,3,-9,5,5,1
4778,Male,White,3.3,9,99,99,99,3,8,-9,6,2,1
4779,Female,White,3.0,2,1,2,3,4,4,-9,98,98,1
4780,Male,White,3.5,4,5,5,2,3,4,-9,6,6,0
4781,Male,White,2.8,1,2,1,2,4,2,-9,5,5,0
4782,Female,White,3.3,3,2,2,0,3,2,-9,6,6,1
4783,Male,Black,1.9,9,98,98,98,3,3,-3,4,4,1
4784,Male,White,3.5,4,1,2,1,4,4,-9,5,5,1
4785,Male,White,3.3,4,2,2,4,5,4,-9,6,6,0
4786,Female,White,3.0,9,99,99,99,2,8,-9,6,5,0
4787,Female,White,3.3,2,3,1,3,2,1,-9,3,5,1
4788,Male,White,2.4,3,1,2,1,5,4,-9,5,5,0
4789,Female,White,2.0,3,0,2,2,3,3,-9,5,4,0
4790,Female,White,3.0,9,99,99,99,5,8,-9,7,7,1
4791,Female,White,4.0,4,4,3,2,5,4,-9,5,5,1
4792,Female,White,3.8,4,2,5,2,5,4,-9,5,5,1
4793,Female,White,1.9,1,2,3,1,3,2,-9,98,98,0
4794,Female,White,4.0,4,3,3,4,5,3,-9,5,5,1
4795,Male,Black,3.3,1,3,3,2,3,3,-9,5,5,0
4796,Male,White,3.0,1,1,1,0,3,3,-9,5,5,1
4797,Male,White,3.8,4,2,3,0,3,2,-9,5,7,1
4798,Female,White,3.8,4,3,2,0,2,2,-9,6,6,0
4799,Female,White,3.0,4,1,2,3,4,3,-9,5,5,0
4800,Male,White,2.5,2,6,5,2,3,3,-9,5,5,0
4801,Female,White,9.9,3,1,6,1,99,4,-9,99,99,1
4802,Female,White,2.3,2,1,6,0,2,2,-9,5,5,1
4803,Male,White,2.5,2,5,2,4,3,2,-9,5,5,1
4804,Male,White,2.5,4,1,1,2,3,3,-9,2,2,0
4805,Male,White,3.8,4,1,2,3,5,4,-9,5,5,1
4806,Female,White,1.8,2,1,3,0,3,2,-9,7,7,0
4807,Female,White,9.9,2,2,1,0,99,4,-9,99,99,1
4808,Male,White,3.8,4,2,0,0,2,2,-9,3,3,1
4809,Male,White,3.5,4,3,2,0,3,3,-9,5,5,0
4810,Male,White,9.9,3,7,3,0,99,2,-3,99,99,1
4811,Male,White,4.0,3,2,3,1,3,3,-9,5,5,1
4812,Male,White,2.3,4,6,2,0,5,4,-9,3,5,0
4813,Female,White,9.8,2,0,3,2,3,4,-9,5,5,0
4814,Male,White,2.8,3,1,1,0,4,3,-9,7,7,0
4815,Female,White,4.0,4,2,3,3,3,2,-9,6,6,0
4816,Male,White,3.8,2,2,5,1,5,4,-3,6,6,1
4817,Male,White,3.0,4,1,1,4,5,4,-9,6,6,1
4818,Male,White,3.0,4,5,5,3,3,3,-9,5,5,0
4819,Female,Black,2.5,1,2,2,0,2,1,-3,2,6,1
4820,Female,White,2.8,2,1,2,2,3,1,-9,5,5,1
4821,Female,White,3.3,3,2,4,3,3,2,-9,6,5,1
4822,Female,White,3.0,3,1,4,0,3,4,-9,5,5,0
4823,Female,White,3.0,3,2,3,2,4,4,-9,5,5,0
4824,Female,White,3.0,9,99,99,99,3,8,-9,6,6,1
4825,Female,White,2.0,3,4,3,2,3,2,-9,7,7,0
4826,Female,White,3.3,2,3,4,4,3,3,-9,3,3,1
4827,Female,White,2.5,3,1,2,1,4,4,-9,5,4,0
4828,Female,White,4.0,4,2,2,2,5,4,-9,5,5,1
4829,Female,White,3.0,3,1,1,0,3,1,-9,4,5,1
4830,Male,Black,3.8,3,3,2,3,3,2,-9,6,6,1
4831,Female,White,3.3,3,0,2,3,2,2,-3,3,4,0
4832,Female,White,3.8,4,2,7,5,4,4,-9,5,5,1
4833,Male,White,2.8,1,5,3,0,3,3,-9,5,5,1
4834,Female,White,2.5,2,1,2,1,3,2,-9,3,3,0
4835,Male,White,1.6,2,99,99,99,3,1,-9,5,5,1
4836,Male,White,3.5,4,1,2,1,4,4,-9,5,5,1
4837,Female,Black,3.0,2,0,5,1,1,1,-9,5,5,1
4838,Female,White,2.5,2,1,2,2,4,4,-9,4,4,0
4839,Male,White,4.0,4,1,7,4,6,4,-9,5,5,1
4840,Male,White,3.0,2,1,1,0,2,1,-9,5,5,1
4841,Female,Black,2.0,2,1,3,4,3,2,-9,3,3,0
4842,Male,White,4.0,4,3,1,2,3,2,-9,3,3,1
4843,Female,White,3.0,2,0,2,0,2,3,-9,5,5,1
4844,Male,White,2.5,3,2,0,5,4,4,-9,5,5,0
4845,Male,White,3.8,3,6,2,3,3,3,-9,6,6,0
4846,Male,White,1.1,2,2,4,0,2,2,-9,3,3,1
4847,Male,White,2.3,4,1,0,0,4,4,-9,5,5,0
4848,Female,White,3.5,4,2,5,2,6,4,-9,5,5,0
4849,Female,White,2.8,4,4,5,2,2,2,-9,4,4,1
4850,Male,White,3.0,3,2,2,1,4,4,-9,6,6,1
4851,Female,White,3.5,3,2,6,1,5,4,-9,5,5,0
4852,Female,White,2.3,2,1,2,2,3,3,-9,7,4,0
4853,Female,Black,2.5,9,99,99,99,3,1,-9,6,6,1
4854,Male,White,2.0,3,3,2,0,3,1,-9,5,5,0
4855,Female,White,4.0,4,3,3,4,3,2,-9,7,7,1
4856,Male,White,3.5,4,2,1,3,6,4,-9,5,5,1
4857,Male,White,3.3,3,3,3,3,3,3,-9,5,5,1
4858,Female,White,4.0,4,5,6,3,2,3,-9,5,5,1
4859,Female,Black,2.5,1,98,2,3,2,1,-3,98,6,0
4860,Female,White,4.0,4,4,5,4,3,2,-9,5,5,1
4861,Male,White,3.5,4,3,2,0,3,3,-9,5,5,0
4862,Female,White,2.5,2,1,2,2,3,2,-9,5,5,0
4863,Male,White,9.8,1,7,0,0,3,2,-3,7,7,0
4864,Female,White,3.8,4,2,7,1,2,2,-9,2,5,1
4865,Female,White,4.0,4,2,5,1,3,2,-9,5,5,1
4866,Female,White,4.0,3,5,5,0,3,2,-9,7,5,0
4867,Female,White,2.5,3,0,0,0,3,3,-9,5,5,1
4868,Female,Black,1.8,3,1,2,0,4,4,-9,98,5,0
4869,Male,Black,4.0,9,99,99,99,6,8,-9,6,5,0
4870,Male,White,4.0,1,1,0,4,3,2,-9,98,98,0
4871,Female,White,9.9,9,5,7,2,99,8,-9,99,99,1
4872,Male,Black,3.0,2,2,1,2,3,2,-9,5,5,0
4873,Male,Black,9.9,6,99,99,99,99,9,-9,99,99,1
4874,Female,White,3.0,9,3,5,2,7,3,-9,5,5,0
4875,Female,White,3.5,3,4,3,3,2,1,-9,6,6,1
4876,Male,White,4.0,4,3,4,2,5,4,-9,5,5,0
4877,Female,White,3.5,3,0,2,1,5,4,-9,6,6,1
4878,Male,White,3.8,2,3,2,1,2,2,-9,5,5,1
4879,Male,White,1.1,2,1,1,0,4,4,-9,5,6,0
4880,Male,White,2.5,1,0,1,2,3,2,-9,4,4,0
4881,Male,White,3.3,4,2,5,0,6,4,-9,6,5,0
4882,Female,White,2.8,3,98,5,4,3,2,-9,5,6,0
4883,Female,White,2.8,2,2,6,0,3,3,-9,4,4,0
4884,Female,White,3.5,3,1,2,2,2,2,-9,5,5,1
4885,Female,White,3.0,2,2,5,1,3,3,-9,6,6,0
4886,Male,White,2.5,2,2,2,0,5,4,-9,5,5,0
4887,Female,White,4.0,4,5,5,1,3,4,-9,5,5,1
4888,Male,White,1.6,3,5,4,4,2,1,-9,5,5,0
4889,Male,White,2.5,3,1,2,4,2,2,-9,5,5,0
4890,Male,White,2.3,3,2,4,2,4,4,-9,5,5,0
4891,Male,White,4.0,2,3,5,0,3,3,-9,3,3,1
4892,Male,White,2.5,3,1,1,4,3,3,-9,5,5,0
4893,Male,White,3.0,3,1,1,5,4,4,-3,5,5,1
4894,Male,White,2.8,4,1,1,1,6,4,-9,5,5,0
4895,Female,White,3.5,4,2,3,2,3,4,-9,5,5,1
4896,Female,White,3.3,3,4,1,4,6,4,-9,98,98,0
4897,Female,White,2.5,3,1,1,0,2,3,-9,5,5,0
4898,Male,White,3.0,1,1,2,0,3,2,-9,3,3,0
4899,Male,White,3.5,4,1,1,4,6,4,-9,6,6,1
4900,Female,White,3.5,3,1,2,2,4,4,-9,5,5,1
4901,Male,White,3.3,4,3,5,98,4,3,-3,6,6,1
4902,Male,White,3.5,4,2,6,1,6,4,-9,6,6,1
4903,Male,Black,2.5,9,99,99,99,4,8,-9,5,5,0
4904,Female,Black,4.0,3,2,6,2,3,3,-9,6,6,0
4905,Female,White,3.0,3,2,1,2,2,2,-9,4,4,1
4906,Female,White,2.8,1,2,1,1,2,2,-3,4,4,1
4907,Female,White,2.8,2,1,2,0,4,3,-9,5,5,1
4908,Male,White,1.5,2,2,1,1,4,4,-9,4,4,0
4909,Male,Black,1.9,9,99,99,99,2,8,-9,5,5,1
4910,Male,White,2.5,1,0,1,0,2,1,-9,2,7,0
4911,Male,White,3.3,3,1,3,1,5,4,-9,5,5,0
4912,Male,White,2.5,9,2,5,4,3,3,-9,6,6,0
4913,Female,White,1.6,1,2,3,2,2,1,-9,7,7,1
4914,Female,Black,3.8,3,0,2,1,6,4,-9,6,6,1
4915,Female,White,3.8,2,2,3,2,3,2,-9,3,3,0
4916,Female,White,3.0,4,1,5,0,4,4,-9,5,5,1
4917,Female,White,4.0,4,1,1,2,3,2,-9,5,5,1
4918,Male,White,3.3,3,3,4,2,3,3,-9,5,5,0
4919,Female,White,2.0,2,3,1,0,3,2,-9,7,5,0
4920,Female,White,3.0,2,2,4,2,2,2,-9,6,6,1
4921,Male,White,3.0,3,3,2,0,3,2,-9,5,5,0
4922,Female,Black,3.8,3,2,2,4,3,1,-9,7,4,1
4923,Female,White,3.5,4,1,2,2,4,4,-9,5,5,1
4924,Female,White,3.0,3,1,1,1,3,3,-9,7,5,0
4925,Male,White,2.0,2,3,7,2,3,3,-9,5,5,0
4926,Female,White,3.0,2,1,2,4,3,3,-3,5,5,1
4927,Male,White,3.0,4,2,3,2,5,4,-3,5,5,1
4928,Female,White,2.1,1,1,0,0,2,1,-9,5,5,0
4929,Female,White,3.5,4,3,7,1,5,4,-9,5,5,1
4930,Male,White,3.8,2,1,3,2,2,2,-9,5,5,0
4931,Male,White,2.9,3,6,6,1,3,3,-9,5,5,0
4932,Female,White,1.4,1,3,0,0,3,3,-9,7,7,1
4933,Male,White,2.0,3,2,2,4,2,3,-9,6,6,1
4934,Male,White,4.0,3,4,6,4,6,4,-9,6,6,0
4935,Male,White,2.5,3,4,5,4,4,4,-9,5,5,0
4936,Male,Black,2.5,2,1,98,0,2,2,-9,6,6,1
4937,Male,White,3.0,4,1,1,1,2,3,-9,2,2,0
4938,Male,Black,3.0,3,1,1,0,2,2,-9,5,5,0
4939,Female,White,2.5,3,1,3,0,3,3,-9,5,5,0
4940,Female,Black,2.3,1,1,1,2,3,2,-9,98,98,0
4941,Female,White,3.8,4,6,3,0,3,1,-9,6,6,1
4942,Female,White,3.0,3,4,6,3,3,3,-9,6,6,1
4943,Male,White,3.0,4,3,5,2,4,4,-9,5,5,1
4944,Female,White,4.0,4,2,4,2,3,3,-9,6,6,1
4945,Female,White,3.3,4,3,2,3,3,2,-9,5,5,1
4946,Male,White,3.0,3,1,1,0,3,3,-9,6,6,0
4947,Female,White,2.4,2,1,2,3,3,2,-9,5,5,0
4948,Male,White,3.0,2,1,2,3,3,2,-9,5,4,0
4949,Female,White,2.5,3,7,3,0,2,2,-9,5,5,1
4950,Male,White,9.9,4,2,1,0,99,3,-9,99,99,0
4951,Male,White,2.0,3,0,1,0,2,1,-9,5,5,0
4952,Male,White,2.8,4,2,2,0,4,4,-9,5,5,0
4953,Male,White,2.3,1,2,1,1,1,1,-9,98,6,1
4954,Male,White,1.6,3,5,4,4,2,1,-9,5,5,0
4955,Female,White,3.0,3,2,4,4,3,3,-9,5,5,0
4956,Female,Black,3.5,2,0,5,0,3,1,-9,6,6,1
4957,Male,White,2.5,4,3,0,0,3,2,-9,5,5,0
4958,Female,White,2.5,3,1,1,0,3,1,-9,5,5,0
4959,Female,Black,2.3,1,1,2,0,3,2,-9,4,4,1
4960,Female,White,3.5,3,3,1,4,3,2,-9,6,6,1
4961,Female,White,2.8,3,1,2,0,3,2,-9,5,5,1
4962,Male,White,2.5,2,1,4,1,2,1,-9,5,5,0
4963,Male,White,9.9,1,0,3,1,99,8,-9,99,99,0
4964,Male,White,2.0,3,0,0,1,3,3,-3,98,3,0
4965,Male,White,3.5,3,4,6,0,3,3,-9,6,6,0
4966,Female,White,4.0,4,2,7,4,5,4,-9,6,6,1
4967,Male,White,2.8,1,1,3,2,3,4,-9,5,5,0
4968,Male,White,3.5,3,0,7,1,5,4,-9,5,5,0
4969,Female,White,3.3,3,3,4,2,3,3,-9,5,5,1
4970,Male,White,3.0,3,2,4,2,4,4,-9,5,5,0
4971,Female,White,3.8,3,1,2,2,3,3,-9,6,6,0
4972,Male,White,2.8,3,2,1,3,5,4,-9,5,5,1
4973,Female,White,4.0,4,2,3,3,4,4,-9,5,6,1
4974,Female,White,3.3,4,3,6,1,4,4,-9,6,6,0
4975,Female,White,2.0,1,1,2,0,5,4,-9,98,5,1
4976,Female,White,9.8,4,1,0,2,4,4,-9,6,5,0
4977,Female,White,3.5,3,2,4,1,3,2,-9,5,5,1
4978,Female,White,4.0,3,1,1,2,4,4,-9,5,5,0
4979,Female,White,2.8,3,1,2,1,2,2,-9,5,5,0
4980,Male,White,3.5,3,2,1,3,2,3,-9,6,6,1
4981,Male,White,3.0,3,1,1,0,3,2,-9,5,5,1
4982,Male,White,2.3,1,7,2,2,2,1,-9,6,6,0
4983,Male,White,3.7,4,1,2,2,4,3,-9,6,6,0
4984,Male,White,4.0,4,2,7,2,5,4,-9,6,6,1
4985,Female,White,2.5,2,4,2,2,2,2,-9,5,5,1
4986,Male,White,3.0,4,2,1,3,3,1,-9,5,5,1
4987,Female,White,4.0,2,2,5,0,3,2,-9,5,5,1
4988,Male,White,3.3,3,3,2,1,3,2,-9,5,4,1
4989,Male,White,3.8,4,2,2,4,5,4,-3,5,6,0
4990,Female,White,1.6,2,1,0,0,3,2,-9,2,3,0
4991,Female,Black,3.0,2,1,1,1,2,2,-9,5,5,0
4992,Female,White,2.5,4,3,4,2,6,4,-9,5,5,1
4993,Female,White,3.3,1,1,2,2,3,3,-9,6,6,0
4994,Male,White,3.8,2,3,3,1,3,2,-9,4,4,0
4995,Female,White,2.3,2,2,3,1,3,2,-9,7,7,1
4996,Female,White,4.0,4,3,3,1,3,2,-9,5,5,1
4997,Male,White,3.3,2,7,7,4,2,1,-9,5,5,0
4998,Male,White,4.0,3,1,1,4,2,3,-9,5,5,0
4999,Female,White,2.5,1,7,5,0,3,3,-9,4,4,0
5000,Female,White,2.5,2,3,5,4,3,3,-9,5,5,1
5001,Male,White,3.5,4,0,1,4,3,3,-9,5,5,0
5002,Female,White,9.9,6,99,99,99,99,9,-3,99,99,1
5003,Male,White,3.0,1,1,1,0,2,3,-9,7,2,0
5004,Female,White,2.0,9,2,2,2,2,1,-9,2,7,1
5005,Female,White,3.0,3,2,3,2,4,4,-9,5,5,0
5006,Male,White,2.5,9,99,99,99,3,8,-3,5,5,1
5007,Male,White,3.5,2,1,0,0,2,2,-9,3,3,1
5008,Female,White,1.5,9,99,99,99,3,8,-9,7,2,0
5009,Female,White,3.3,3,1,1,5,3,2,-9,5,5,1
5010,Female,White,3.3,4,4,2,2,2,1,-9,5,5,1
5011,Female,White,3.0,4,3,4,0,3,2,-9,98,98,1
5012,Male,White,2.3,3,2,4,2,4,4,-9,5,5,0
5013,Male,White,3.8,4,5,7,4,6,4,-9,6,6,1
5014,Female,Black,3.3,3,0,3,0,3,2,-3,7,5,0
5015,Male,White,3.0,3,1,2,0,3,3,-9,6,6,0
5016,Male,White,3.5,4,2,4,1,3,2,-9,5,5,0
5017,Female,White,2.5,3,3,2,1,3,3,-9,5,5,1
5018,Female,White,3.5,4,1,2,3,4,3,-9,6,6,1
5019,Male,White,2.5,2,2,2,0,5,4,-9,5,5,0
5020,Female,White,3.0,3,3,3,1,3,3,-9,5,5,1
5021,Male,White,2.5,4,3,1,2,5,4,-9,3,3,0
5022,Female,White,3.5,4,3,1,2,3,3,-9,5,5,1
5023,Female,White,2.3,3,1,4,0,5,4,-9,5,5,0
5024,Female,White,3.5,4,5,3,0,5,4,-9,6,6,1
5025,Female,Black,3.8,4,1,6,2,6,4,-9,6,5,1
5026,Male,Black,3.5,9,2,2,4,3,3,-9,5,5,0
5027,Male,White,3.8,4,2,4,3,3,2,-9,5,5,1
5028,Male,White,9.9,4,1,1,0,99,4,-3,99,99,1
5029,Male,White,2.3,3,2,0,0,2,1,-9,7,7,0
5030,Female,White,3.3,2,1,2,3,3,3,-9,5,5,1
5031,Male,White,2.8,3,1,1,0,4,3,-9,7,7,0
5032,Male,White,4.0,4,2,2,2,6,4,-9,6,6,1
5033,Female,White,4.0,4,1,4,3,3,4,-9,5,5,1
5034,Male,White,3.0,3,2,4,4,6,4,-9,6,6,0
5035,Male,Black,3.0,1,2,1,0,2,1,-9,1,1,0
5036,Male,White,3.0,2,2,98,4,3,2,-9,5,5,1
5037,Male,White,3.5,3,1,1,5,2,1,-9,4,4,1
5038,Female,White,2.3,3,1,2,2,3,4,-9,6,6,0
5039,Male,White,2.4,2,99,99,99,2,2,-9,2,2,0
5040,Male,White,3.5,4,3,2,2,2,2,-9,5,5,1
5041,Male,White,2.5,1,0,1,2,3,2,-9,4,4,0
5042,Male,Black,3.5,1,1,1,2,3,3,-9,6,6,0
5043,Male,White,1.8,1,1,1,0,4,4,-9,4,4,1
5044,Male,Black,2.5,2,1,1,2,5,4,-9,5,5,0
5045,Female,White,3.3,2,4,1,4,3,2,-9,5,5,1
5046,Female,White,3.8,3,2,1,4,4,3,-9,5,5,1
5047,Female,White,3.5,4,3,5,3,3,4,-3,6,6,0
5048,Female,White,2.8,3,2,1,1,3,1,-9,98,98,0
5049,Male,Black,3.3,2,2,2,3,3,3,-3,4,6,1
5050,Male,White,2.5,3,1,6,0,2,1,-9,7,7,0
5051,Female,White,3.3,2,1,2,0,3,4,-9,6,6,1
5052,Male,White,3.5,4,2,2,3,3,3,-3,7,7,0
5053,Male,White,4.0,4,2,3,1,3,3,-9,5,5,1
5054,Female,Black,3.5,3,1,2,2,5,4,-9,6,6,0
5055,Female,White,2.5,2,3,1,0,2,1,-9,3,3,0
5056,Female,White,4.0,4,1,5,4,4,4,-9,6,4,0
5057,Male,White,4.0,4,3,4,4,3,4,-9,5,5,1
5058,Male,Black,3.0,2,2,2,5,3,1,-9,6,6,0
5059,Female,White,3.5,3,2,2,2,3,2,-9,5,5,0
5060,Female,White,3.0,9,99,99,99,3,8,-9,98,4,0
5061,Female,White,2.5,3,2,0,0,3,1,-9,6,6,1
5062,Female,White,2.5,1,1,1,2,3,3,-9,4,3,0
5063,Female,White,3.3,2,3,2,2,3,3,-9,5,5,0
5064,Female,White,2.5,2,1,1,0,2,1,-9,5,5,1
5065,Female,White,3.8,4,1,2,2,5,4,-3,6,6,1
5066,Male,Black,2.8,4,1,1,0,3,2,-3,5,5,0
5067,Female,White,4.0,4,7,3,3,3,2,-9,5,5,1
5068,Female,White,1.3,2,1,1,4,6,4,-9,6,6,0
5069,Male,White,3.0,4,1,1,2,3,3,-9,5,5,1
5070,Female,White,3.0,4,1,2,1,4,4,-9,6,6,0
5071,Male,White,3.5,2,2,1,0,4,2,-9,3,3,0
5072,Male,White,1.8,4,2,1,2,4,3,-9,2,5,1
5073,Female,White,3.0,1,1,2,3,1,1,-9,5,5,1
5074,Female,Black,3.0,2,98,1,0,98,1,-9,7,7,1
5075,Male,White,3.3,3,7,2,0,3,1,-9,98,5,0
5076,Male,White,3.3,1,98,3,0,3,3,-9,5,98,1
5077,Female,White,2.3,4,4,2,0,3,1,-9,5,5,0
5078,Female,White,4.0,4,2,2,3,3,2,-9,5,5,1
5079,Male,White,3.0,3,1,3,5,4,3,-9,6,6,0
5080,Female,White,3.8,4,2,3,2,4,4,-9,5,5,1
5081,Male,Black,9.9,1,1,3,2,99,3,-3,99,99,1
5082,Male,White,3.0,9,3,2,2,2,1,-3,5,5,0
5083,Female,White,4.0,4,2,3,2,4,4,-9,5,5,1
5084,Female,White,2.8,4,3,3,0,5,4,-9,6,6,1
5085,Male,White,4.0,4,7,6,2,4,4,-9,5,5,1
5086,Male,Black,2.8,1,1,1,3,7,1,-3,4,4,1
5087,Female,Black,4.0,2,0,1,1,2,1,-9,6,6,0
5088,Male,White,2.8,3,98,2,1,2,2,-9,5,5,1
5089,Female,White,2.5,2,1,2,2,3,2,-9,5,5,0
5090,Male,White,3.5,3,1,1,3,3,2,-9,6,6,0
5091,Male,White,3.3,3,1,2,3,4,4,-9,6,6,1
5092,Female,Black,3.5,3,5,5,1,6,4,-9,6,6,0
5093,Male,White,3.5,3,0,2,2,4,3,-9,5,5,1
5094,Male,White,2.8,3,4,5,4,3,3,-9,5,5,1
5095,Male,White,3.0,4,1,2,1,4,4,-9,6,5,0
5096,Male,Black,1.4,1,0,1,2,2,1,-9,5,5,0
5097,Male,White,3.3,4,2,2,1,3,3,-9,7,5,0
5098,Male,White,3.5,2,1,4,2,4,4,-9,5,5,1
5099,Male,Black,4.0,3,2,2,4,4,3,-9,6,6,0
5100,Male,White,3.3,4,2,3,3,5,4,-9,7,7,1
5101,Male,White,3.0,3,1,7,0,4,4,-9,5,5,0
5102,Male,White,2.8,3,1,1,0,4,3,-9,7,7,0
5103,Male,White,9.8,1,1,2,1,5,4,-9,6,2,0
5104,Female,White,2.8,3,5,3,1,4,4,-9,6,6,1
5105,Female,White,2.3,4,3,4,4,3,2,-9,5,5,0
5106,Female,White,3.3,3,1,1,0,2,1,-9,6,6,1
5107,Female,White,3.5,1,2,2,1,3,3,-9,5,5,1
5108,Female,White,2.8,4,3,3,3,5,4,-9,6,6,0
5109,Male,Black,3.5,1,1,1,2,3,3,-9,6,6,0
5110,Female,White,2.5,9,99,99,99,2,8,-9,5,5,0
5111,Male,White,3.3,2,2,4,0,3,3,-9,4,4,1
5112,Female,White,3.8,4,1,5,3,3,3,-9,6,6,1
5113,Male,White,4.0,4,2,1,4,3,3,-9,5,5,1
5114,Female,White,3.8,4,1,1,3,3,3,-9,6,5,0
5115,Female,White,2.0,2,1,1,4,5,3,-9,6,2,0
5116,Male,White,3.7,4,3,3,0,4,4,-9,6,6,1
5117,Male,Black,4.0,3,3,3,3,5,4,-3,5,5,1
5118,Female,White,2.0,1,2,1,0,3,3,-9,5,5,0
5119,Male,White,3.3,1,1,3,1,2,3,-9,6,6,1
5120,Female,Black,2.5,3,1,2,1,3,2,-9,5,5,0
5121,Male,White,2.5,2,3,2,0,3,1,-3,7,7,0
5122,Male,White,1.8,1,2,96,0,1,1,-9,1,1,0
5123,Male,White,3.5,4,7,5,0,3,3,-9,5,5,1
5124,Male,White,2.8,4,2,1,0,2,1,-9,5,5,0
5125,Female,White,4.0,9,99,99,99,2,1,-9,5,5,1
5126,Female,White,3.8,4,1,6,2,6,4,-9,6,6,1
5127,Male,White,3.0,4,3,1,1,4,3,-9,5,5,0
5128,Female,Black,1.4,9,99,99,99,3,1,-9,4,4,0
5129,Female,White,2.3,4,5,2,2,4,3,-9,5,5,1
5130,Female,White,9.9,4,2,0,0,99,2,-9,99,99,1
5131,Male,White,2.5,3,6,5,3,4,3,-9,5,5,0
5132,Female,White,3.3,3,2,4,1,3,3,-9,6,6,1
5133,Female,White,2.8,3,6,3,2,3,3,-9,5,5,0
5134,Male,White,3.8,4,1,5,1,3,3,-3,5,5,1
5135,Female,White,3.5,1,3,5,0,3,2,-9,5,5,1
5136,Female,White,2.8,4,3,2,2,3,2,-9,4,4,0
5137,Female,White,3.3,4,3,7,1,5,4,-9,6,6,1
5138,Female,White,3.5,4,2,5,0,3,3,-9,5,5,0
5139,Female,White,3.8,9,2,2,1,3,2,-9,5,5,0
5140,Female,White,3.0,2,1,1,2,5,4,-9,6,6,1
5141,Female,White,4.0,4,1,1,3,3,3,-9,7,6,1
5142,Female,White,3.5,9,99,99,99,2,8,-9,3,3,0
5143,Male,Black,3.0,2,2,1,2,3,2,-9,5,5,0
5144,Female,Black,2.3,2,0,3,2,1,1,-9,6,6,0
5145,Male,White,4.0,3,1,2,2,5,4,-9,5,5,1
5146,Male,White,3.0,4,2,4,4,3,3,-9,5,5,1
5147,Male,Black,2.8,2,2,2,0,3,4,-9,5,5,1
5148,Female,White,3.8,3,1,1,0,2,3,-9,2,2,1
5149,Female,White,2.3,1,3,3,0,2,1,-9,7,7,0
5150,Male,White,3.0,3,1,2,0,3,2,-9,5,5,0
5151,Male,White,3.3,4,3,6,0,3,3,-9,5,5,1
5152,Male,White,2.8,4,2,3,4,3,3,-9,6,6,0
5153,Male,White,3.8,4,3,4,2,4,4,-9,5,5,0
5154,Male,White,9.9,1,1,2,4,99,8,-9,99,99,0
5155,Male,White,0.8,1,1,2,2,3,2,-9,4,5,0
5156,Male,White,4.0,1,1,0,4,3,2,-9,98,98,0
5157,Female,White,3.5,4,1,2,3,3,1,-9,98,98,1
5158,Male,White,3.3,3,1,0,0,3,3,-9,5,6,0
5159,Female,Black,3.0,1,1,2,2,2,2,-3,98,5,1
5160,Male,White,2.8,3,2,1,4,3,2,-9,5,3,0
5161,Male,White,2.5,9,99,99,99,2,8,-9,98,98,0
5162,Male,Black,3.3,2,2,1,1,3,2,-9,98,5,0
5163,Male,White,2.3,2,1,3,4,2,3,-9,6,6,0
5164,Male,White,3.1,2,1,1,5,5,4,-9,6,5,1
5165,Female,White,4.0,3,3,5,2,4,3,-9,6,6,0
5166,Male,White,4.0,3,2,1,3,4,4,-9,5,5,0
5167,Male,White,3.5,4,3,1,0,3,3,-9,6,6,0
5168,Male,White,3.3,4,2,1,5,5,4,-9,5,5,1
5169,Female,White,4.0,4,1,1,4,4,3,-9,6,6,0
5170,Female,White,2.5,3,2,1,3,4,4,-9,5,5,0
